video,raw_score,clipped_score,caption
normal-fwd-icon_830.mp4,0.220928,0.220928,"The animation 'icon_830' depicts a stylized camera icon. It starts with a black outline of a rectangular shape representing the body of the camera, with two small ovals on either side likely indicating buttons or dials. Inside the rectangle, there's a large circle with a diagonal line across it, symbolizing a shutter button. A triangular shape protrudes from the top, resembling the viewfinder or lens hood.

As the animation progresses, the camera icon rotates 90 degrees clockwise. This rotation is smooth and continuous, with no intermediate frames showing the transition. The black outline remains consistent throughout the rotation, and the internal shapes (circle with diagonal line and ovals) maintain their positions relative to the rotating rectangle. There are no additional transformations or animations applied to the individual components. Only return a JSON."
normal-fwd-icon_88.mp4,0.200214,0.200214,"The animation ""icon_88"" depicts a stylized flower with a circular center and petal-like shapes surrounding it. The main object consists of two primary components: a central circle and a series of petal-like shapes forming the flower's head, attached to a stem.

1. **Initial Composition**: At the beginning, the flower is fully formed with a central circle and multiple petal-like shapes evenly distributed around it. The stem is straight and simple, with no additional details.

2. **Motion and Timing**:
   - **Petal Rotation**: The petal-like shapes begin to rotate around the central circle in a clockwise direction. This rotation is smooth and continuous, giving the impression of a gentle breeze or natural movement.
   - **Stem Swaying**: Simultaneously. Only return a JSON."
normal-fwd-polygon_5__anticlockwise_180___ease-in__very_small__navy__fill__scale-1.0__sample-110.mp4,0.241765,0.241765,"This very small navy filled 5-vertex polygon  performs the motion as it while it continues anticlockwise rotation up to 180° retaining the same size throughout, using using ease-in easing, over 2 seconds.. Only return a JSON."
normal-fwd-polygon_5__anticlockwise_180___ease-out__small__rose__dotted-gap-20__scale-1.0__sample-377.mp4,0.236150,0.236150,"Here, a small rose dotted 5-gon  with 20px spacing while it rotates anticlockwise to 180° while maintaining its original size, paired with with a smooth ease-out finish, over completed in 2 seconds.. Only return a JSON."
normal-fwd-polygon_5__anticlockwise_180___linear__small__navy__dotted-gap-20__scale-0.5__sample-888.mp4,0.243860,0.243860,"Here, a small navy light dotted pattern 5-gon  with 20px spacing while it whirls anticlockwise toward 180° scaling up to 0.5x its original size, paired with moving evenly with linear timing, over taking 2 seconds.. Only return a JSON."
normal-fwd-polygon_5__anticlockwise_60___ease-out__large__neon_blue__fill__scale-0.5__sample-88.mp4,0.240353,0.240353,A large neon_blue flat-color fill 5-gon  as the shape rotates anticlockwise to 60° increasing its size to 0.5x using ease-out easing spanning 2 seconds.. Only return a JSON.
normal-fwd-polygon_5__anticlockwise__ease-in__medium__navy__dotted-gap-20__scale-1.0__sample-158.mp4,0.235652,0.235652,"The medium navy small-dot style regular 5-gon  with 20px spacing that rotates smoothly anticlockwise retaining the same size throughout with a soft ease-in start, completed completed in 2 seconds.. Only return a JSON."
normal-fwd-polygon_5__anticlockwise__linear__very_small__olive__dotted-gap-20__scale-0.5__sample-907.mp4,0.243086,0.243086,"This very small olive fine-dotted regular 5-gon  with 20px spacing performs the motion as it which spins anticlockwise growing to 0.5x its size, using with linear easing, spanning 2 seconds.. Only return a JSON."
normal-fwd-polygon_5__clockwise_60___linear__very_large__stone__outline__scale-1.0__sample-423.mp4,0.223030,0.223030,"A very large stone minimal outline regular 5-gon  gracefully where it rotates in a clockwise motion until 60° while maintaining its original size, enhanced by using consistent linear pacing, taking 2 seconds.. Only return a JSON."
normal-fwd-polygon_5__clockwise_90___linear__small__burgundy__dotted-gap-20__scale-1.0__sample-628.mp4,0.238043,0.238043,"This small burgundy dotted-line 5-sided polygon  with 20px spacing performs the motion as it while it continues clockwise rotation up to 90° without changing its size, using moving at a steady linear rate, over 2 seconds.. Only return a JSON."
normal-fwd-polygon_5__clockwise__ease-in__very_large__baby_blue__dotted-gap-20__scale-1.5__sample-56.mp4,0.233709,0.233709,"The very large baby_blue fine-dotted geometric 5-gon  with 20px spacing as the shape spins clockwise expanding to 1.5x scale with a soft ease-in start, completed taking 2 seconds.. Only return a JSON."
normal-fwd-polygon_5__left-to-right__ease-out__extremely_large__jade__outline__scale-0.5__sample-682.mp4,0.239920,0.239920,"The extremely large jade line-art style geometric 5-gon  as it slides horizontally from left to right expanding to 0.5x scale using ease-out easing, completed throughout a 2-second animation.. Only return a JSON."
normal-fwd-polygon_5__up-to-down__ease-in__large__fire__dotted-gap-20__scale-1.0__sample-60.mp4,0.245566,0.245566,"Here, a large fire dotted-line geometric 5-gon  with 20px spacing where it drops from top to bottom remaining unscaled, paired with with a soft ease-in start, over taking 2 seconds.. Only return a JSON."
normal-fwd-polygon_5__up-to-down__ease-out__large__slate__dotted-gap-20__scale-0.5__sample-461.mp4,0.239265,0.239265,A large slate light dotted pattern 5-edge polygon  with 20px spacing as the shape moves downward scaling up to 0.5x its original size with a smooth ease-out finish over 2 seconds.. Only return a JSON.
normal-fwd-polygon_6__anticlockwise_125___linear__large__peach__dotted-gap-20__scale-1.5__sample-29.mp4,0.237030,0.237030,"A large peach dotted 6-sided polygon  with 20px spacing gracefully that turns anticlockwise up to 125° and scales to 1.5x its size, enhanced by progressing with uniform linear motion, spanning 2 seconds.. Only return a JSON."
normal-fwd-polygon_6__clockwise_180___ease-out__very_large__marigold__fill__scale-1.0__sample-74.mp4,0.230824,0.230824,"This very large marigold solid-fill style 6-sided polygon  which rotates clockwise to 180° keeping a constant size, with a smooth ease-out finish, lasting throughout a 2-second animation.. Only return a JSON."
normal-fwd-polygon_6__clockwise_60___ease-in__small__periwinkle__dotted-gap-20__scale-1.0__sample-885.mp4,0.240442,0.240442,"Here, a small periwinkle small-dot style regular 6-gon  with 20px spacing as it moves in a clockwise arc reaching 60° keeping a constant size, paired with starting slowly with ease-in easing, over spanning 2 seconds.. Only return a JSON."
normal-fwd-rounded-square_16__clockwise__ease-out__extremely_large__sand__outline__scale-1.5__sample-351.mp4,0.238302,0.238302,"The extremely large sand line-art style smooth-corner square  as it spins clockwise growing to 1.5x its size using ease-out easing, completed lasting for 2 seconds.. Only return a JSON."
normal-fwd-spinner_color-A52A2A_entities-5_r-70_speed-0.7937537455748216_dir-clockwise.mp4,0.240052,0.240052,"A brown circular spinner of 5 dots, evenly spaced in a ring of radius medium, rotates clockwise around the center at a slow pace while pulsing in brightness.. Only return a JSON."
normal-fwd-square__anticlockwise_45___linear__small__neon_pink__fill__scale-0.5__sample-710.mp4,0.238378,0.238378,"The small neon_pink filled geometric square  where it twists anticlockwise to an angle of 45° expanding to 0.5x scale with linear easing, completed spanning 2 seconds.. Only return a JSON."
normal-fwd-square__clockwise_180___linear__medium__peach__outline__scale-1.0__sample-794.mp4,0.242898,0.242898,"Here, a medium peach thin-outline style solid square  as the shape rotates clockwise to 180° while maintaining its original size, paired with moving evenly with linear timing, over taking 2 seconds.. Only return a JSON."
normal-fwd-square__clockwise_270___ease-in__very_large__baby_blue__outline__scale-0.5__sample-142.mp4,0.234239,0.234239,"The very large baby_blue clean stroke outline even-sided square  while it continues clockwise rotation up to 270° changing size to 0.5x starting slowly with ease-in easing, completed lasting for 2 seconds.. Only return a JSON."
normal-fwd-square__clockwise_270___ease-out__very_small__silver__fill__scale-1.5__sample-1012.mp4,0.239199,0.239199,"The very small silver solid-fill style geometric square  which rotates clockwise to 270° changing size to 1.5x slowing down with ease-out easing, completed within 2 seconds.. Only return a JSON."
normal-fwd-square__clockwise_45___ease-in__extremely_large__purple__dotted-gap-20__scale-1.5__sample-235.mp4,0.233450,0.233450,A extremely large purple dot-pattern geometric square  with 20px spacing which turns clockwise up to 45° expanding to 1.5x scale beginning gently with ease-in motion spanning 2 seconds.. Only return a JSON.
normal-fwd-square__clockwise_45___ease-out__small__jade__dotted-gap-20__scale-1.5__sample-667.mp4,0.242588,0.242588,"Here, a small jade dotted-line even-sided square  with 20px spacing that spins clockwise reaching 45° scaling up to 1.5x its original size, paired with with a smooth ease-out finish, over lasting for 2 seconds.. Only return a JSON."
normal-fwd-square__down-to-up__linear__very_large__green__fill__scale-1.0__sample-0.mp4,0.248176,0.248176,"This very large green fully filled-in square  as it moves upward keeping a constant size, with linear easing, lasting lasting for 2 seconds.. Only return a JSON."
normal-fwd-square__right-to-left__ease-in__very_small__emerald_dark__outline__scale-1.5__sample-502.mp4,0.244487,0.244487,"This very small emerald_dark minimal outline square  performs the motion as it as it translates smoothly right to left and scales to 1.5x its size, using beginning gently with ease-in motion, taking 2 seconds.. Only return a JSON."
normal-fwd-square__up-to-down__linear__medium__black__fill__scale-0.5__sample-164.mp4,0.251281,0.251281,"The medium black flat-color fill solid square  as it shifts from up to down scaling up to 0.5x its original size using consistent linear pacing, completed within 2 seconds.. Only return a JSON."
normal-fwd-star_5__anticlockwise_270___linear__medium__royal_blue__dotted-gap-20__scale-0.5__sample-798.mp4,0.235640,0.235640,A medium royal_blue dotted 5-tip star  with 20px spacing which twists anticlockwise to an angle of 270° and scales to 0.5x its size progressing with uniform linear motion completed in 2 seconds.. Only return a JSON.
normal-fwd-star_5__clockwise_125___linear__very_large__bronze__dotted-gap-20__scale-1.0__sample-209.mp4,0.234818,0.234818,"The very large bronze light dotted pattern 5-pointed star  with 20px spacing while it rotates in a clockwise motion until 125° keeping a constant size moving at a steady linear rate, completed over 2 seconds.. Only return a JSON."
normal-fwd-star_8__anticlockwise_225___ease-in__very_small__olive__outline__scale-0.5__sample-766.mp4,0.238538,0.238538,"Here, a very small olive thin-outline style 8-arm star  while it twists anticlockwise to an angle of 225° and scales to 0.5x its size, paired with gradually accelerating through ease-in, over throughout a 2-second animation.. Only return a JSON."
normal-fwd-star_8__anticlockwise_90___linear__very_small__navy__fill__scale-0.5__sample-21.mp4,0.239987,0.239987,"This very small navy solid 8-point star  performs the motion as it while it twists anticlockwise to an angle of 90° growing to 0.5x its size, using animated at constant linear speed, within 2 seconds.. Only return a JSON."
normal-fwd-star_8__anticlockwise__ease-out__very_small__periwinkle__outline__scale-0.5__sample-410.mp4,0.241924,0.241924,A very small periwinkle minimal outline regular 8-point star  as it twists in an anticlockwise motion expanding to 0.5x scale ending gently with ease-out motion spanning 2 seconds.. Only return a JSON.
normal-fwd-star_8__clockwise_125___ease-in__very_small__indigo__dotted-gap-20__scale-1.0__sample-259.mp4,0.230508,0.230508,"A very small indigo small-dot style 8-arm star  with 20px spacing gracefully that rotates steadily clockwise until it reaches 125° and keeps its size, enhanced by using ease-in easing, lasting for 2 seconds.. Only return a JSON."
normal-fwd-star_8__clockwise_180___ease-out__small__teal__dotted-gap-20__scale-1.0__sample-497.mp4,0.237049,0.237049,"A small teal small-dot style 8-point star  with 20px spacing gracefully while it turns clockwise up to 180° while maintaining its original size, enhanced by slowing down with ease-out easing, lasting for 2 seconds.. Only return a JSON."
normal-fwd-star_8__clockwise_225___ease-in__extremely_large__bronze__dotted-gap-20__scale-1.0__sample-343.mp4,0.229909,0.229909,"A extremely large bronze dot-pattern 8-arm star  with 20px spacing gracefully as the shape continues clockwise rotation up to 225° without changing its size, enhanced by using ease-in easing, spanning 2 seconds.. Only return a JSON."
normal-fwd-star_8__clockwise_225___ease-out__very_large__blush__dotted-gap-20__scale-1.0__sample-115.mp4,0.243225,0.243225,A very large blush small-dot style 8-arm star  with 20px spacing where it rotates in a clockwise motion until 225° keeping a constant size gradually slowing via ease-out completed in 2 seconds.. Only return a JSON.
normal-fwd-star_8__clockwise_45___linear__small__lime__outline__scale-1.0__sample-950.mp4,0.242285,0.242285,A small lime outlined 8-pointed star  which rotates in a clockwise motion until 45° while maintaining its original size moving at a steady linear rate within 2 seconds.. Only return a JSON.
normal-fwd-star_8__clockwise__ease-out__extremely_large__lime__fill__scale-1.5__sample-398.mp4,0.225859,0.225859,"A extremely large lime uniformly filled regular 8-point star  gracefully where it circles around clockwise increasing its size to 1.5x, enhanced by with a smooth ease-out finish, completed in 2 seconds.. Only return a JSON."
normal-fwd-system-solid-178-work-hover-work.mp4,0.213537,0.213537,"The animation begins with a static image of a dark blue briefcase icon. The briefcase remains stationary for a moment before it starts to rotate counterclockwise. As the rotation progresses, the briefcase slowly zooms inwards, maintaining its position relative to the center of the screen. This zoom-in effect continues until the briefcase reaches its original size, at which point the rotation stops and the briefcase returns to its initial static state.. Only return a JSON."
normal-fwd-thumbUp.mp4,0.209443,0.209443,"The 'thumbUp' animation starts with a single, solid black thumb pointing upwards. This thumb remains stationary throughout the animation. There are no changes in size, rotation, or color. The animation consists solely of the thumb shape, which is a filled black circle with a line extending from the top right corner to form the thumb's shape. The thumb does not move, scale, rotate, or fade; it remains static, serving as the sole visual element in the animation.. Only return a JSON."
normal-fwd-triangle__anticlockwise_125___ease-in__large__jade__dotted-gap-20__scale-0.5__sample-763.mp4,0.240220,0.240220,"A large jade dotted-line simple triangle  with 20px spacing as the shape twists anticlockwise to an angle of 125° changing size to 0.5x, beginning gently with ease-in motion, spanning 2 seconds.. Only return a JSON."
normal-fwd-triangle__anticlockwise_270___ease-in__small__jade__dotted-gap-20__scale-1.0__sample-368.mp4,0.241229,0.241229,A small jade light dotted pattern sharp triangle  with 20px spacing that twists anticlockwise to an angle of 270° keeping a constant size animated with an ease-in acceleration taking 2 seconds.. Only return a JSON.
normal-fwd-triangle__anticlockwise_270___ease-out__medium__indigo__fill__scale-1.5__sample-771.mp4,0.243838,0.243838,"Here, a medium indigo fully filled-in simple triangle  as it rotates steadily anticlockwise until it reaches 270° growing to 1.5x its size, paired with using ease-out easing, over lasting for 2 seconds.. Only return a JSON."
normal-fwd-triangle__clockwise_45___ease-out__very_small__charcoal__fill__scale-0.5__sample-855.mp4,0.246030,0.246030,"A very small charcoal solid simple triangle  that moves in a clockwise arc reaching 45° increasing its size to 0.5x, using ease-out easing, taking 2 seconds.. Only return a JSON."
normal-fwd-triangle__right-to-left__ease-in__very_large__olive__dotted-gap-20__scale-1.5__sample-723.mp4,0.234410,0.234410,"This very large olive dotted-line geometric triangle  with 20px spacing performs the motion as it where it moves from right to left and scales to 1.5x its size, using beginning gently with ease-in motion, taking 2 seconds.. Only return a JSON."
static-fwd-circle__anticlockwise_180___ease-in__very_large__umber__dotted-gap-20__scale-0.5__sample-179.mp4,0.236389,0.236389,"A circle featuring a dotted appearance, very large in scale and located at the center.. Only return a JSON."
static-fwd-circle__anticlockwise_180___ease-in__very_small__blush__outline__scale-0.5__sample-449.mp4,0.239516,0.239516,"A blush circle, designed in a outlined style and sized very small, resting at the center.. Only return a JSON."
static-fwd-circle__anticlockwise_225___linear__small__sky__fill__scale-1.5__sample-521.mp4,0.241729,0.241729,"A visually simple sky circle, small in size and filled in design, located at the center.. Only return a JSON."
static-fwd-circle__clockwise_180___linear__extremely_large__stone__outline__scale-1.5__sample-124.mp4,0.221010,0.221010,"A stone circle, designed in a outlined style and sized extremely large, resting at the center.. Only return a JSON."
static-fwd-circle__clockwise_90___ease-in__extremely_large__neon_pink__fill__scale-0.5__sample-178.mp4,0.236409,0.236409,"A circle featuring a filled appearance, extremely large in scale and located at the center.. Only return a JSON."
static-fwd-circle__right-to-left__ease-out__small__royal_blue__fill__scale-0.5__sample-605.mp4,0.247153,0.247153,"A small filled circle positioned near the center, rendered in royal blue.. Only return a JSON."
static-fwd-polygon_5__anticlockwise_180___ease-in__very_small__navy__fill__scale-1.0__sample-110.mp4,0.240461,0.240461,"A polygon 5 featuring a filled appearance, very small in scale and located at the center.. Only return a JSON."
static-fwd-polygon_5__anticlockwise_180___ease-out__small__rose__dotted-gap-20__scale-1.0__sample-377.mp4,0.249707,0.249707,"A small dotted polygon 5 positioned at the center, rendered in rose.. Only return a JSON."
static-fwd-polygon_5__anticlockwise_180___linear__small__navy__dotted-gap-20__scale-0.5__sample-888.mp4,0.245940,0.245940,"A small navy polygon 5 with dotted styling, initially appearing at the center.. Only return a JSON."
static-fwd-polygon_5__anticlockwise_60___ease-out__large__neon_blue__fill__scale-0.5__sample-88.mp4,0.245121,0.245121,"A large neon blue polygon 5, styled in a filled manner, positioned at the center.. Only return a JSON."
static-fwd-polygon_5__anticlockwise__ease-in__medium__navy__dotted-gap-20__scale-1.0__sample-158.mp4,0.246193,0.246193,At at the center lies a medium dotted polygon 5 in navy.. Only return a JSON.
static-fwd-polygon_5__anticlockwise__linear__very_small__olive__dotted-gap-20__scale-0.5__sample-907.mp4,0.243372,0.243372,"A dotted polygon 5 of very small dimensions, shown at the center and colored in olive.. Only return a JSON."
static-fwd-polygon_5__clockwise_60___linear__very_large__stone__outline__scale-1.0__sample-423.mp4,0.226861,0.226861,"A very large stone polygon 5 with outlined styling, initially appearing at the center.. Only return a JSON."
static-fwd-polygon_5__clockwise_90___linear__small__burgundy__dotted-gap-20__scale-1.0__sample-628.mp4,0.243550,0.243550,"A centrally aligned small polygon 5 rendered in burgundy, dotted in style, found at the center.. Only return a JSON."
static-fwd-polygon_5__clockwise__ease-in__very_large__baby_blue__dotted-gap-20__scale-1.5__sample-56.mp4,0.240446,0.240446,"A visually simple baby blue polygon 5, very large in size and dotted in design, located at the center.. Only return a JSON."
static-fwd-polygon_5__left-to-right__ease-out__extremely_large__jade__outline__scale-0.5__sample-682.mp4,0.230849,0.230849,"An object shaped like a polygon 5, extremely large in size, outlined in style, located near the center.. Only return a JSON."
static-fwd-polygon_5__up-to-down__ease-in__large__fire__dotted-gap-20__scale-1.0__sample-60.mp4,0.242548,0.242548,"A large fire polygon 5 with dotted styling, initially appearing near the center.. Only return a JSON."
static-fwd-polygon_5__up-to-down__ease-out__large__slate__dotted-gap-20__scale-0.5__sample-461.mp4,0.238286,0.238286,"A visually simple slate polygon 5, large in size and dotted in design, located near the center.. Only return a JSON."
static-fwd-polygon_6__anticlockwise_125___linear__large__peach__dotted-gap-20__scale-1.5__sample-29.mp4,0.239932,0.239932,"A polygon 6 featuring a dotted appearance, large in scale and located at the center.. Only return a JSON."
static-fwd-polygon_6__clockwise_180___ease-out__very_large__marigold__fill__scale-1.0__sample-74.mp4,0.237331,0.237331,"A polygon 6 featuring a filled appearance, very large in scale and located at the center.. Only return a JSON."
static-fwd-polygon_6__clockwise_225___linear__very_small__lime__dotted-gap-20__scale-0.5__sample-853.mp4,0.243819,0.243819,"A centrally aligned very small polygon 6 rendered in lime, dotted in style, found at the center.. Only return a JSON."
static-fwd-polygon_6__clockwise_60___ease-in__small__periwinkle__dotted-gap-20__scale-1.0__sample-885.mp4,0.240930,0.240930,A periwinkle polygon 6 of small size placed at the center of the canvas.. Only return a JSON.
static-fwd-rounded-square_16__clockwise__ease-out__extremely_large__sand__outline__scale-1.5__sample-351.mp4,0.247840,0.247840,"A extremely large sand rounded square 16, styled in a outlined manner, positioned at the center.. Only return a JSON."
static-fwd-square__anticlockwise_225___linear__small__black__dotted-gap-20__scale-1.0__sample-362.mp4,0.261401,0.261401,"A small black square with dotted styling, initially appearing at the center.. Only return a JSON."
static-fwd-square__anticlockwise_45___linear__small__neon_pink__fill__scale-0.5__sample-710.mp4,0.241608,0.241608,"A square featuring a filled appearance, small in scale and located at the center.. Only return a JSON."
static-fwd-square__clockwise_180___linear__medium__peach__outline__scale-1.0__sample-794.mp4,0.241680,0.241680,"A square featuring a outlined appearance, medium in scale and located at the center.. Only return a JSON."
static-fwd-square__clockwise_270___ease-in__very_large__baby_blue__outline__scale-0.5__sample-142.mp4,0.247902,0.247902,"A very large baby blue square with outlined styling, initially appearing at the center.. Only return a JSON."
static-fwd-square__clockwise_45___ease-in__extremely_large__purple__dotted-gap-20__scale-1.5__sample-235.mp4,0.248543,0.248543,"A extremely large purple square with dotted styling, initially appearing at the center.. Only return a JSON."
static-fwd-square__clockwise_45___ease-out__small__jade__dotted-gap-20__scale-1.5__sample-667.mp4,0.250114,0.250114,"A visually simple jade square, small in size and dotted in design, located at the center.. Only return a JSON."
static-fwd-square__down-to-up__linear__very_large__green__fill__scale-1.0__sample-0.mp4,0.233709,0.233709,"An object shaped like a square, very large in size, filled in style, located near the center.. Only return a JSON."
static-fwd-square__right-to-left__ease-in__very_small__emerald_dark__outline__scale-1.5__sample-502.mp4,0.241257,0.241257,"A visually simple emerald dark square, very small in size and outlined in design, located near the center.. Only return a JSON."
static-fwd-square__up-to-down__linear__medium__black__fill__scale-0.5__sample-164.mp4,0.255380,0.255380,A square with filled styling and medium proportions positioned clearly near the center.. Only return a JSON.
static-fwd-star_5__anticlockwise_270___linear__medium__royal_blue__dotted-gap-20__scale-0.5__sample-798.mp4,0.236835,0.236835,A royal blue star 5 of medium size placed at the center of the canvas.. Only return a JSON.
static-fwd-star_5__anticlockwise_60___ease-in__small__amber__dotted-gap-20__scale-1.0__sample-633.mp4,0.245946,0.245946,"A small amber star 5, styled in a dotted manner, positioned at the center.. Only return a JSON."
static-fwd-star_5__clockwise_125___linear__very_large__bronze__dotted-gap-20__scale-1.0__sample-209.mp4,0.213611,0.213611,"A dotted star 5 of very large dimensions, shown at the center and colored in bronze.. Only return a JSON."
static-fwd-star_8__anticlockwise_225___ease-in__very_small__olive__outline__scale-0.5__sample-766.mp4,0.228420,0.228420,"A very small star 8 with a outlined finish, sitting at the center of the frame.. Only return a JSON."
static-fwd-star_8__anticlockwise_90___linear__very_small__navy__fill__scale-0.5__sample-21.mp4,0.229841,0.229841,"A filled star 8 of very small dimensions, shown at the center and colored in navy.. Only return a JSON."
static-fwd-star_8__anticlockwise__ease-out__very_small__periwinkle__outline__scale-0.5__sample-410.mp4,0.235157,0.235157,"A very small periwinkle star 8, styled in a outlined manner, positioned at the center.. Only return a JSON."
static-fwd-star_8__clockwise_125___ease-in__very_small__indigo__dotted-gap-20__scale-1.0__sample-259.mp4,0.229024,0.229024,"A star 8 featuring a dotted appearance, very small in scale and located at the center.. Only return a JSON."
static-fwd-star_8__clockwise_225___ease-in__extremely_large__bronze__dotted-gap-20__scale-1.0__sample-343.mp4,0.219857,0.219857,"A extremely large dotted star 8 positioned at the center, rendered in bronze.. Only return a JSON."
static-fwd-star_8__clockwise_45___linear__small__lime__outline__scale-1.0__sample-950.mp4,0.232866,0.232866,"An object shaped like a star 8, small in size, outlined in style, located at the center.. Only return a JSON."
static-fwd-star_8__clockwise__ease-out__extremely_large__lime__fill__scale-1.5__sample-398.mp4,0.228310,0.228310,"An object shaped like a star 8, extremely large in size, filled in style, located at the center.. Only return a JSON."
static-fwd-triangle__anticlockwise_125___ease-in__large__jade__dotted-gap-20__scale-0.5__sample-763.mp4,0.255600,0.255600,"A triangle, large and dotted, placed at the center against a neutral background.. Only return a JSON."
static-fwd-triangle__anticlockwise_270___ease-in__small__jade__dotted-gap-20__scale-1.0__sample-368.mp4,0.258463,0.258463,"A triangle, small and dotted, placed at the center against a neutral background.. Only return a JSON."
